ID, Type, Car, Pros, Cons
445987, suv, 2020 Hyundai Kona Electric Limited, Value for money. Top safety pick. Blast to drive, Bland but functional interior. Rear leg room.
444990, suv, 2020 Lexus RX RX 450h, Comfort+ Ride quality+ silent+ Eco mode+ Reliable, Lack acceleration+ handling+costly leather upgrade
444216, suv, 2020 Lexus NX 300h Luxury, A lot for the price, Might not be ideal for people who are really tall
444338, suv, 2020 Ford Escape SE Sport, Amazing MPGs for awd suv+ tech+ comfort+ value, Some hard plastics that should be soft
441656, suv, 2020 Lincoln Aviator Black Label Grand Touring, There's a long list, Haven't found any yet
443181, suv, 2020 Ford Explorer Limited HEV, Fun features styling power, Cost on higher end models.
441809, suv, 2020 Kia Telluride SX, All except one - see my con below., On the S trim+ no automatic tailgate.
444332, suv, 2020 Mercedes-Benz GLE GLE 350, Technology, Bad Mercedes QC and not comfortable seat
443771, suv, 2020 Hyundai Palisade SEL, Great safety features+ beautiful+ comfortable, If any+ Gas mileage
444331, suv, 2020 Honda Pilot Touring, Great ride+ loads of features on Elite model, Serious reliability issues
444178, suv, 2020 Hyundai Santa Fe 2.0T Limited, Everything!, None.
444862, suv, 2020 Acura MDX Base Style, Value+ Semi-sporty+ good looking+ comfrotable+ saf, slow transmission
444075, suv, 2020 Subaru Outback Touring XT, Top safety and fun to drive, Quirky auto on/off—- non shifting transmission
444180, suv, 2020 Volvo XC90 T6 Inscription, comfort + safety + quaity, 4 cylinder engine struggles some times.
445576, suv, 2020 Porsche Cayenne E-Hybrid, Fun to drive+ Reputation+ Navigation+ Suspension, Expensive
445142, suv, 2020 Buick Enclave Avenir, N/A, N/A
444440, suv, 2020 Ford Expedition XLT, Plenty of power for highway driving and towing, Price
444672, suv, 2020 Ford Expedition MAX XLT, Plenty of power for highway driving and towing, Price
444185, suv, 2020 Chevrolet Tahoe LT, Very comfortable with nice creature comforts, Wonky fuel pumps that get eaten up like clockwork
445147, suv, 2020 Chevrolet Suburban LS, Looks nice, Transmission+ Oil Leaks + A/c
444455, suv, 2020 GMC Yukon SLT, Performance and styling., Cheap carpeting in back. Not great gas mileage.
444547, suv, 2020 GMC Yukon XL SLT Standard Edition, Performance and styling., Cheap carpeting in back. Not great gas mileage.
444667, suv, 2020 Toyota Sequoia SR5, Power+ comfort+ quaity+ reliability+ fun to drive, Gas mileage.
446231, suv, 2020 Toyota Land Cruiser Heritage Edition, Value and reliability, Fill 'er up!
438624, suv, 2019 Nissan Armada SV, smooth ridw v8 power lux interior finish, better screen for nav & appel play missing
439779, suv, 2019 Mercedes-Benz GLS GLS 550 4MATIC, Twin turbo V8 power+ Smooth effortless ride, Exterior design is a little dull.
441809, suv, 2020 Kia Telluride SX, All except one - see my con below., On the S trim+ no automatic tailgate.
444332, suv, 2020 Mercedes-Benz GLE GLE 350, Technology, Bad Mercedes QC and not comfortable seat
443771, suv, 2020 Hyundai Palisade SEL, Great safety features+ beautiful+ comfortable, If any+ Gas mileage
444440, suv, 2020 Ford Expedition XLT, Plenty of power for highway driving and towing, Price
444672, suv, 2020 Ford Expedition MAX XLT, Plenty of power for highway driving and towing, Price
444331, suv, 2020 Honda Pilot Touring, Great ride+ loads of features on Elite model, Serious reliability issues
444862, suv, 2020 Acura MDX Base Style, Value+ Semi-sporty+ good looking+ comfrotable+ saf, slow transmission
444180, suv, 2020 Volvo XC90 T6 Inscription, comfort + safety + quaity, 4 cylinder engine struggles some times.
445142, suv, 2020 Buick Enclave Avenir, N/A, N/A
443903, suv, 2020 Subaru Ascent Premium, Rugged and dependable as a Subaru should be, 
441815, suv, 2020 Kia Telluride LX, All except one - see my con below., On the S trim+ no automatic tailgate.
446136, suv, 2020 Honda CR‑V EX, Comfortable and Economical, Engine problem needs solved
445547, suv, 2020 Toyota RAV4 XLE Premium, Comparatively good gas mileage, Fuel tank will not fill Misleading fuel gauge
446091, suv, 2020 Toyota RAV4 Hybrid XSE, Comparatively good gas mileage, Fuel tank will not fill Misleading fuel gauge
444337, suv, 2020 Mercedes-Benz GLE GLE 450 4MATIC, Technology, Bad Mercedes QC and not comfortable seat
444328, suv, 2020 Volvo XC40 T5 R-Design, Sporty+ fun to drive+ great looks+ interface, Weak AC
446004, suv, 2020 Audi Q5 45 TFSI Prestige, Riding on air+ comfortable seats+ fun to drive, Wife won’t let me drive it
443796, suv, 2020 Hyundai Palisade SEL, Great safety features+ beautiful+ comfortable, If any+ Gas mileage
444471, suv, 2020 Ford Expedition King Ranch, Plenty of power for highway driving and towing, Price
444673, suv, 2020 Ford Expedition MAX King Ranch, Plenty of power for highway driving and towing, Price
444320, suv, 2020 Volvo XC40 T4 Momentum, Sporty+ fun to drive+ great looks+ interface, Weak AC
445132, suv, 2020 Buick Encore Essence, Dim headlights, 
439459, suv, 2019 BMW X2 sDrive28i, Blind spot by drivers mirror, 
441161, suv, 2019 BMW X1 xDrive28i, Fun to drive+ zippy engine+ good fuel efficiency, Roar roar+ cheap interior trim+ lack of std feats
441165, suv, 2019 INFINITI QX30 Luxe, It looks good, Too expensive for what you get
440060, suv, 2019 Mercedes-Benz GLA GLA 250 4MATIC, FUN TO DRIVE, A LITTLE ROUGH ON BUMPS
441494, suv, 2019 Mercedes-Benz Mercedes‑AMG GLA GLA 45, FUN TO DRIVE, A LITTLE ROUGH ON BUMPS
445731, suv, 2020 Lexus UX 200, fun+ comfortable+ luxurious, too many buttons+ telescope adj. too little.
445561, suv, 2020 Audi Q3 Premium Plus, lovely entertainment system, Jerky ride - not smooth like other models
444668, suv, 2020 Jaguar E‑PACE P300 R-Dynamic HSE, N/A, N/A
446004, suv, 2020 Audi Q5 45 TFSI Prestige, Riding on air+ comfortable seats+ fun to drive, Wife won’t let me drive it
443755, suv, 2020 Acura RDX FWD w/Advance Pkg, Engine is potent+ interior finish is nice, Infotainment is really buggy
445006, suv, 2020 Mercedes-Benz GLC GLC 300 4MATIC, Nice looking vehicle., My expectation for a Mercedes is greater
445712, suv, 2020 INFINITI QX50 LUXE, Drives itself & all around cameras with top view, Deep dark blue paint shows any dirt
444187, suv, 2020 Lexus NX 300, A lot for the price, Might not be ideal for people who are really tall
445718, suv, 2020 BMW X3 sDrive30i, Nice ride+ great handling+ nice ergonomics, Cheap windshield glass and wind noise
445296, suv, 2020 Cadillac XT4 Luxury, Fun to drive+ practical+ luxurious, Premium fuel+
444860, suv, 2020 Lincoln Corsair Base Style, nice comfort, having to disable the auto start/stop
445570, suv, 2020 Porsche Macan Base Style, Fun to drive!, Beware of system failures in traffic.
443271, suv, 2020 Land Rover Range Rover Evoque P250 First Edition, N/A, N/A
444332, suv, 2020 Mercedes-Benz GLE GLE 350, Technology, Bad Mercedes QC and not comfortable seat
444862, suv, 2020 Acura MDX Base Style, Value+ Semi-sporty+ good looking+ comfrotable+ saf, slow transmission
444180, suv, 2020 Volvo XC90 T6 Inscription, comfort + safety + quaity, 4 cylinder engine struggles some times.
445576, suv, 2020 Porsche Cayenne E-Hybrid, Fun to drive+ Reputation+ Navigation+ Suspension, Expensive
445142, suv, 2020 Buick Enclave Avenir, N/A, N/A
444990, suv, 2020 Lexus RX RX 450h, Comfort+ Ride quality+ silent+ Eco mode+ Reliable, Lack acceleration+ handling+costly leather upgrade
444076, suv, 2020 INFINITI QX60 LUXE, Good mileage, Poor interior fit and finish
445134, suv, 2020 Land Rover Range Rover Velar R-Dynamic S P340, Stylish and handles well., Too techy and expensive for the return.
441535, suv, 2020 Lincoln Aviator Reserve, There's a long list, Haven't found any yet
445144, suv, 2020 Land Rover Discovery HSE Luxury, the ride and luxury feel and 4 wheel capability, None at this time
446231, suv, 2020 Toyota Land Cruiser Heritage Edition, Value and reliability, Fill 'er up!
439779, suv, 2019 Mercedes-Benz GLS GLS 550 4MATIC, Twin turbo V8 power+ Smooth effortless ride, Exterior design is a little dull.
439903, suv, 2019 Mercedes-Benz Mercedes‑AMG GLS GLS 63, Twin turbo V8 power+ Smooth effortless ride, Exterior design is a little dull.
446087, suv, 2020 Mercedes-Benz G‑Class G 550, Car pulls and has ZERO lag - quiet inside., Sun reflects dash on windshield and side mirrors.
444757, suv, 2020 Lexus LX LX 570, A Lexus dealership is only to be experienced., not a smooth ride on a bumpy road
444669, suv, 2020 Lincoln Navigator Base Style, luxury with a practical design, high pricetag
444743, suv, 2020 Lincoln Navigator L Reserve, luxury with a practical design, high pricetag
446435, suv, 2020 INFINITI QX80 LIMITED, Feel safe+ handling is very sporty+ lots of power, Timing chain+ Cat Converter/manifold design flaw
444858, suv, 2020 Land Rover Range Rover P525 Autobiography, Body style is impressive. Seats very comfortable, unreliable+ electrical issues+ no solutions
445545, suv, 2020 Cadillac Escalade ESV Premium Luxury, Power+ ride + and interior luxury, CUE
444335, sedan, 2020 Hyundai Accent Limited, It's perfect for the price., Nothing
445298, sedan, 2020 Kia Rio S, Great mpg.nice styling+roomy interior+affordable, None so far.
446099, sedan, 2020 Toyota Yaris LE, Great MPG+ Toyota Care+, Cheap Interior
442088, sedan, 2019 Chevrolet Sonic LS, Handles great+ Tech Savvy+ Quite Drive, MPG could be better
441470, sedan, 2019 Ford Fiesta S, Explained above., Hatch space+ rear view mirror visibility.
438493, sedan, 2019 Nissan Versa SV, Great gas mileage, Vibrating when engine cooling fan engages
441655, sedan, 2019 Mitsubishi Mirage G4 ES, MPG comfort cost of ownership, wind pushes it around a little on highway
447960, sedan, 2020 BMW 2 Series 228i xDrive Gran Coupe, N/A, N/A
444534, sedan, 2020 BMW 3 Series M340i, Fun to drive+ iDrive & Apple CarPlay+ Interior, Driving Assist Features+ Exterior Style
445402, sedan, 2020 Honda Civic Si, Great handling+ mileage+ power, Center screen takes a while to get used to.
445337, sedan, 2020 Lexus GS GS F, Smooth+ powerful engine; rock-solid build quality, Infotainment interface takes getting used to
444859, sedan, 2020 Subaru WRX WRX STI Limited, Super-fun to drive..., Wannabees will only see the chrome-plated exhausts
446236, sedan, 2020 Dodge Charger Scat Pack, Reliable+ Powerful & comfortable..., Wish the interior workmanship was better.
442170, sedan, 2019 Audi RS 5 Base Style, So much fun, A little too quiet in sport mode
442353, sedan, 2019 Audi S5 Prestige, Fast+ beautiful+ and the valets park it out front, handling could be improved
443183, sedan, 2019 Audi S4 Prestige, High qualtity, None. Complete car.
439795, sedan, 2019 Mercedes-Benz Mercedes‑AMG E‑Class E 63 S AMG, Great ride, nothing
441730, sedan, 2019 Mercedes-Benz Mercedes‑AMG C‑Class C 63 AMG, A gas to drive+ the car holds the road!, Sport wheels don't last 36+000 miles.
447213, sedan, 2019 Rolls-Royce Ghost Extended, great price+ fun to drive, no cup holders
447253, sedan, 2019 Rolls-Royce Phantom Extended Wheelbase, See my review above, The absolute fascination with a black exterior and interior!
438184, sedan, 2018 Maserati Quattroporte S Q4 GranLusso, One of the fastest sedans with 530HP., Depreciates significantly (DO NOT BUY BRAND NEW)
436632, sedan, 2018 Bentley Mulsanne Base Style, N/A, N/A
445395, sedan, 2020 Honda Accord Hybrid EX-L, Quiet+ Value+ Style+ Comfort, Cold weather very hard on MPG
444765, sedan, 2020 Lexus ES ES 300h, looks+ driving, comfort+ quirky and overly complicated technology
442115, sedan, 2020 Toyota Corolla Hybrid LE, fuel economy+ ride quality+ appearance, entune interface+ no android auto
445841, sedan, 2020 Toyota Camry Hybrid XLE, Good fuel mileage but you pay extra for a hybrid, Low ground clearance and useless navigation system
443712, sedan, 2020 Kia Optima Hybrid EX, Comfortable+ smooth+ quiet and solid. Top quality!, Smaller trunk
443764, sedan, 2020 Kia Optima Plug‑in Hybrid EX, Comfortable+ smooth+ quiet and solid. Top quality!, Smaller trunk
445020, sedan, 2020 Ford Fusion SEL Hybrid, Fun to ride+ reliability+ solidness+ Looks, 
441280, sedan, 2019 Tesla Model 3 Mid Range, Everything, None without having to get into the weeds to find
441718, sedan, 2019 Honda Clarity Electric Base Style, Feels like luxury car+ quiet+ comfortable, None yet.
442085, sedan, 2019 Honda Clarity Plug‑in Hybrid Base Style, Feels like luxury car+ quiet+ comfortable, None yet.
445888, sedan, 2020 Mercedes-Benz E‑Class E 450 4MATIC, Great ride, nothing
444575, sedan, 2020 BMW 3 Series M340i xDrive, Fun to drive+ iDrive & Apple CarPlay+ Interior, Driving Assist Features+ Exterior Style
445985, sedan, 2020 Lexus IS IS 350, A Lot of Bang for the Buck+ Fun to drive+, Average Acceleration+ Muddled center console
445753, sedan, 2020 INFINITI Q50 3.0t LUXE, Sporty and comfortable, No apple car play
445302, sedan, 2020 MAZDA MAZDA3 Preferred, Comfy ride+ sleek exterior+ plush inteiror, Finicky infotainment+ needs more low end torgue
444197, sedan, 2020 Subaru Legacy Premium, Very comfortable and fun to drive, too many functions controlled by touch screen
445307, sedan, 2020 Lexus GS GS 350 F SPORT, Smooth+ powerful engine; rock-solid build quality, Infotainment interface takes getting used to
443894, sedan, 2020 Nissan Altima 2.5 SR, I feel safe in this car & love the look of it too., none so far
444859, sedan, 2020 Subaru WRX WRX STI Limited, Super-fun to drive..., Wannabees will only see the chrome-plated exhausts
443483, sedan, 2020 Acura TLX 3.5 w/Technology Pkg & A-SPEC Pkg, the price is right!!, 
444534, sedan, 2020 BMW 3 Series M340i, Fun to drive+ iDrive & Apple CarPlay+ Interior, Driving Assist Features+ Exterior Style
445383, sedan, 2020 Honda Civic LX, Great handling+ mileage+ power, Center screen takes a while to get used to.
442082, sedan, 2020 Toyota Corolla SE, fuel economy+ ride quality+ appearance, entune interface+ no android auto
442115, sedan, 2020 Toyota Corolla Hybrid LE, fuel economy+ ride quality+ appearance, entune interface+ no android auto
445010, sedan, 2020 Kia Forte FE, Great gas mileage+ cool technology features, Steering wheel isn't heated
445985, sedan, 2020 Lexus IS IS 350, A Lot of Bang for the Buck+ Fun to drive+, Average Acceleration+ Muddled center console
443563, sedan, 2020 Hyundai Elantra SEL, Great price+ value+ and beautiful looking car., None.
445295, sedan, 2020 MAZDA MAZDA3 Base Style, Comfy ride+ sleek exterior+ plush inteiror, Finicky infotainment+ needs more low end torgue
445564, sedan, 2020 Acura ILX Premium & A-SPEC Pkgs, comfortable ride - quality - performance, style -technology
444859, sedan, 2020 Subaru WRX WRX STI Limited, Super-fun to drive..., Wannabees will only see the chrome-plated exhausts
444995, sedan, 2020 Honda Accord EX, Balanced performance+ great value+ Surprising MPG+, Some road noise on concrete roads
445395, sedan, 2020 Honda Accord Hybrid EX-L, Quiet+ Value+ Style+ Comfort, Cold weather very hard on MPG
444744, sedan, 2020 Lexus ES ES 350, looks+ driving, comfort+ quirky and overly complicated technology
445883, sedan, 2020 Mercedes-Benz E‑Class E 350, Great ride, nothing
445294, sedan, 2020 Toyota Camry TRD, Good fuel mileage but you pay extra for a hybrid, Low ground clearance and useless navigation system
445841, sedan, 2020 Toyota Camry Hybrid XLE, Good fuel mileage but you pay extra for a hybrid, Low ground clearance and useless navigation system
446120, sedan, 2020 Hyundai Sonata SEL Plus, Safety Suite+ Design+ Comfort+ Drivability+ Bose, Power passenger seat doesn't go up and down
445714, sedan, 2020 INFINITI Q50 3.0t PURE, Sporty and comfortable, No apple car play
444197, sedan, 2020 Subaru Legacy Premium, Very comfortable and fun to drive, too many functions controlled by touch screen
445303, sedan, 2020 Lexus GS GS 350, Smooth+ powerful engine; rock-solid build quality, Infotainment interface takes getting used to
444745, sedan, 2020 Nissan Maxima SR, superb styling+ great fun to drive+ great price, premium fuel recommended
446228, sedan, 2020 Dodge Charger GT, Reliable+ Powerful & comfortable..., Wish the interior workmanship was better.
436688, sedan, 2019 Chevrolet Impala LS, Looks+ Quiet comfortable ride+ Economical., Traction marginal at slow speed in snow.
439853, sedan, 2019 Genesis G80 3.8, Price+ power+ comfort., non
439004, sedan, 2019 Kia Stinger Premium, Very decent power. Bargain price+ decent mpg, Sound system is ok
441153, sedan, 2019 Kia Cadenza Limited, Options that are standard!, None so far
441277, sedan, 2019 Acura RLX Sport Hybrid SH-AWD, Powerful 370 HP engine (310+ 60 electric assist), Reduced trunk space due to battery storage.
441643, sedan, 2019 Chrysler 300 300 Touring L, Fun to drive; rear-window visor - awesome!, Need blind spot detection; front camera-needed
441173, sedan, 2019 Acura RLX Base Style, Solid+ quiet+ responsive+ tons of fun to drive, No interior LED mood lighting; second rate navi
441537, sedan, 2019 Buick LaCrosse Avenir, Price+ comfort+ equipment, None to speak of.
447960, sedan, 2020 BMW 2 Series 228i xDrive Gran Coupe, N/A, N/A
444534, sedan, 2020 BMW 3 Series M340i, Fun to drive+ iDrive & Apple CarPlay+ Interior, Driving Assist Features+ Exterior Style
445985, sedan, 2020 Lexus IS IS 350, A Lot of Bang for the Buck+ Fun to drive+, Average Acceleration+ Muddled center console
445564, sedan, 2020 Acura ILX Premium & A-SPEC Pkgs, comfortable ride - quality - performance, style -technology
442170, sedan, 2019 Audi RS 5 Base Style, So much fun, A little too quiet in sport mode
442353, sedan, 2019 Audi S5 Prestige, Fast+ beautiful+ and the valets park it out front, handling could be improved
441731, sedan, 2019 Audi A5 Premium, Fun to drive; great tech features and sound system, Poor rear/side visibility; minimal upfront storage
438617, sedan, 2019 Genesis G70 3.3T Design Edition, 5/60 warranty+ safety features+ Fun to Drive!!, No park assist in base model
443183, sedan, 2019 Audi S4 Prestige, High qualtity, None. Complete car.
441280, sedan, 2019 Tesla Model 3 Mid Range, Everything, None without having to get into the weeds to find
441720, sedan, 2019 Audi A4 Premium, Top safety pick+ fun sporty and high end., The shifter takes a day or two to adjust to.
444744, sedan, 2020 Lexus ES ES 350, looks+ driving, comfort+ quirky and overly complicated technology
445883, sedan, 2020 Mercedes-Benz E‑Class E 350, Great ride, nothing
445714, sedan, 2020 INFINITI Q50 3.0t PURE, Sporty and comfortable, No apple car play
445303, sedan, 2020 Lexus GS GS 350, Smooth+ powerful engine; rock-solid build quality, Infotainment interface takes getting used to
443477, sedan, 2020 Acura TLX 2.4 w/Technology Pkg, the price is right!!, 
444324, sedan, 2020 Cadillac CT5 Sport, Fun to drive+ classy interior+ sporty exterior, None
441374, sedan, 2019 Audi A6 Prestige, Performance+ safety+ technology+ style., None
439795, sedan, 2019 Mercedes-Benz Mercedes‑AMG E‑Class E 63 S AMG, Great ride, nothing
436528, sedan, 2019 BMW M5 Base Style, Fast as a rocket., A little turbo lag when not ready.
439968, sedan, 2019 BMW 5 Series 530e iPerformance, Does everything well, Wish for more battery-only range (40-50 miles)
439853, sedan, 2019 Genesis G80 3.8, Price+ power+ comfort., non
441277, sedan, 2019 Acura RLX Sport Hybrid SH-AWD, Powerful 370 HP engine (310+ 60 electric assist), Reduced trunk space due to battery storage.
441173, sedan, 2019 Acura RLX Base Style, Solid+ quiet+ responsive+ tons of fun to drive, No interior LED mood lighting; second rate navi
441537, sedan, 2019 Buick LaCrosse Avenir, Price+ comfort+ equipment, None to speak of.
439862, sedan, 2019 Lincoln Continental Select, Exceptional comfort+ power+ quietness & quality, Need more colors choics for interior.
442154, sedan, 2019 Cadillac XTS Platinum, Better than my 14, GM has killed of this very comfortable ride.
444078, sedan, 2019 BMW 6 Series 650i Gran Coupe xDrive, Great driving experience. Still turns heads, I don't like where the interior door pull is.
443867, sedan, 2020 Cadillac CT6‑V Base Style, Fast, Too many settings
445979, sedan, 2020 Porsche Panamera Turbo S E-Hybrid Sport Turismo, FUN TO DRIVE, NONE FOR ME+ MAY BE PRICE
447114, sedan, 2020 Kia K900 Luxury, power+ comfort+ feature content, front end styling a bit dull
444534, sedan, 2020 BMW 3 Series M340i, Fun to drive+ iDrive & Apple CarPlay+ Interior, Driving Assist Features+ Exterior Style
445337, sedan, 2020 Lexus GS GS F, Smooth+ powerful engine; rock-solid build quality, Infotainment interface takes getting used to
442170, sedan, 2019 Audi RS 5 Base Style, So much fun, A little too quiet in sport mode
442353, sedan, 2019 Audi S5 Prestige, Fast+ beautiful+ and the valets park it out front, handling could be improved
443183, sedan, 2019 Audi S4 Prestige, High qualtity, None. Complete car.
439795, sedan, 2019 Mercedes-Benz Mercedes‑AMG E‑Class E 63 S AMG, Great ride, nothing
441730, sedan, 2019 Mercedes-Benz Mercedes‑AMG C‑Class C 63 AMG, A gas to drive+ the car holds the road!, Sport wheels don't last 36+000 miles.
436528, sedan, 2019 BMW M5 Base Style, Fast as a rocket., A little turbo lag when not ready.
443273, sedan, 2019 Audi RS 3 Base Style, Performance+ fun+ quality+ practicality+ looks, Cabin is a bit small. Wish it had three pedals.
441401, sedan, 2019 Mercedes-Benz Mercedes‑AMG CLA CLA 45 4MATIC, fun to drive+ fast+ awesome looks, transmision
445401, hatchback, 2019 FIAT 500e Base Style, Cute+ fun to drive+ low maintenance+ economical!, Definitely a city car due to limited range
442432, hatchback, 2019 FIAT 500 Abarth Base Style, Styling+ price+ fun to drive and low ins. cost, Small size+ for single person or couple only
443334, hatchback, 2019 FIAT 500 Pop, Styling+ price+ fun to drive and low ins. cost, Small size+ for single person or couple only
435013, hatchback, 2018 smart fortwo electric drive Pure, Peppy+ Stylish and fun to drive, Battery range(miles) 80 summer+ 55 winter
447191, hatchback, 2019 smart fortwo EQ coupe Pure, Peppy+ Stylish and fun to drive, Battery range(miles) 80 summer+ 55 winter
445338, hatchback, 2020 Kia Rio S, Great mpg.nice styling+roomy interior+affordable, None so far.
445546, hatchback, 2020 Chevrolet Spark LS, Excellent mileage+ fun-to-drive+ fits anywhere, Would 2 more hp make a difference?
436297, hatchback, 2019 Honda Fit Sport w/Honda Sensing, Fun to drive+ very economical, Peppy+ but won't win many races.
442003, hatchback, 2019 BMW i3 s w/Range Extender, Fun to drive+ very inexpensive to operate, It's a specific use vehicle+ understand that.
442086, hatchback, 2019 Chevrolet Sonic LT, Handles great+ Tech Savvy+ Quite Drive, MPG could be better
438895, hatchback, 2019 Nissan Versa Note SR, Great gas mileage, Vibrating when engine cooling fan engages
441449, hatchback, 2019 Ford Fiesta SE, Explained above., Hatch space+ rear view mirror visibility.
438911, hatchback, 2019 Toyota Prius c LE, Gas and money saver, Road noise is loud and the car is slow.
441642, hatchback, 2019 Mitsubishi Mirage SE, MPG+ maneuverability, blind spots
442409, hatchback, 2019 FIAT 500L Lounge, See above., I dont own two of them.
444190, hatchback, 2020 Toyota Prius Prime LE, The first Prius that is fun to drive., As I said+ rough road noise comes through too much
444750, hatchback, 2020 Honda Civic Sport, Great handling+ mileage+ power, Center screen takes a while to get used to.
445300, hatchback, 2020 MAZDA MAZDA3 Base Style, Comfy ride+ sleek exterior+ plush inteiror, Finicky infotainment+ needs more low end torgue
444857, hatchback, 2020 Toyota Prius XLE, Gas mileage. Comfortable seats. Electric mode., No Android interface. Seat heat buttons
439420, hatchback, 2019 Honda Civic Type R Touring, Performance+ reliability+ cool factor, Dealer Premiums
437166, hatchback, 2019 Chevrolet Bolt EV LT, Cheap to run...really cheap!, Needs better interior finishes.
442341, hatchback, 2019 Hyundai Elantra GT Base Style, Great price+ value+ and beautiful looking car., None.
438414, hatchback, 2019 Hyundai Ioniq Electric Limited, Super Deal Great MPG and Full Electric Option, Head rests very uncomfortable too far forward
438435, hatchback, 2019 Hyundai Ioniq Plug‑in Hybrid Base Style, Super Deal Great MPG and Full Electric Option, Head rests very uncomfortable too far forward
438622, hatchback, 2019 Hyundai Ioniq Hybrid Blue, Super Deal Great MPG and Full Electric Option, Head rests very uncomfortable too far forward
447729, hatchback, 2019 Ferrari GTC4Lusso Base Style, N/A, N/A
442003, hatchback, 2019 BMW i3 s w/Range Extender, Fun to drive+ very inexpensive to operate, It's a specific use vehicle+ understand that.
447729, hatchback, 2019 Ferrari GTC4Lusso Base Style, N/A, N/A
439420, hatchback, 2019 Honda Civic Type R Touring, Performance+ reliability+ cool factor, Dealer Premiums
441458, hatchback, 2019 Ford Fiesta ST, Explained above., Hatch space+ rear view mirror visibility.
439878, hatchback, 2019 Volkswagen Golf R 4Motion, Great value+ performance+ comfort+ understated, Gas mileage - slightly less than Id expected ~28
438878, hatchback, 2019 Volkswagen Golf GTI S, N/A, N/A
438196, hatchback, 2019 MINI Hardtop 4 Door Cooper S, Looks and performance, It is a small so not for hauling big things
439214, hatchback, 2019 MINI Hardtop 2 Door John Cooper Works, Looks and performance, It is a small so not for hauling big things
